ID,性別,年齢,メッセージ人数,掲示板投稿数,被通報数,会員フラグ(プレミアム、ダイヤモンド),ニックネーム,身長,年収,資産,職業,体型,飲酒,喫煙,婚姻状況,居住地,交際タイプ,自己紹介,メッセージ送信可能フラグ,メッセージ送信済みフラグ,画像取得フラグ,登録日時,作成日時,更新日時
20581191786043,1,0,0,0,0,,としのり,,,,,,,,,,,,true,true,false,2018-05-14,2018-05-14,2018-05-14
20581191772051,2,0,0,0,0,,makiko51,,,,,,,,,,,,true,true,false,2018-05-14,2018-05-14,2018-05-14
20581191816289,2,46,0,0,0,,ran&amp;rin,150～154cm,,,その他,やや細め,飲まない,時々吸う,独身,東京都,相手に合わせる,初めまして、宜しくお願い致します。色々分からない事だらけなので、教えて下さい。,true,false,true,2018-05-12,2018-05-14,2018-05-14
14474044620549,1,57,0,0,0,,KOHJl,175～180cm,3000万円以上,1億円以上,オーナー,やや細め,飲む,時々吸う,既婚,大阪府,,大人の付き合いが出来る子は条件を提示してください,true,false,true,9999-12-31,2018-05-14,2018-05-14
20581191772188,1,49,0,0,0,,marusan,165～169cm,800万円以上,7500万円以上,会社員,少し太め,時々飲む,時々吸う,既婚,神奈川県,,"登録してみました。<br>
一緒に楽しみませんか<br>
(^^♪<br>
<br>
オジサマに興味ある子を募集中です。<br>
1人の女性と長期で定期的に会えてお互い良い関係を続けられればと思ってます。<br>
付き合っていく中で綺麗になっていくのを見ていたいです。<br>
<br>
最初は顔合わせ的にお茶でもしながら決めて頂いても大丈夫です。<br>
ご飯のみみたいな子は間に合ってますのですみません。<br>
希望、条件があれば是非メッセージください。<br>
<br>
プロフィールがわからない方、写真のない方、礼儀のない方には返事はしないと思いますのですみません。<br>
<br>
気になる子にはポチっとすると思います。<br>
可愛い子と思った子にはポチポチっとします(笑)<br>
よろしくお願いします。",true,true,true,9999-12-31,2018-05-14,2018-05-14
20581191815366,2,20,8,0,0,,りさちぃ,155～159cm,,,アルバイト,普通,時々飲む,吸わない,独身,千葉県,まずは食事から,"都内の専門学校に通いながらアルバイトをしている、20歳です🌼<br>
初めて登録してみました。<br>
目指している職業があって、高い学費を出してもらっているし、高校生の弟もいるのに、これ以上親にはお金の事で迷惑を掛けたくないというのが本音です。<br>
<br>
今はバイトをしているのですが、さすがに毎日だと勉強に支障が出てしまうため、思い切って登録しました😥<br>
<br>
優しい方がいいなと思います。夢を応援してくれる人、あと、甘えさせてくれる余裕のある方だとなおさら安心します。<br>
<br>
お会いする中で色々教えていただき、大人のマナーを覚えたいです。",true,true,true,2018-05-09,2018-05-14,2018-05-14
20581191816486,1,49,0,0,0,,baobab,170～174cm,1000万円以上,1000万円以上,会社員,普通,飲まない,吸わない,既婚,東京都,,まだ始めたばかりでよくわかりませんが、よろしくお願いします。,true,true,true,9999-12-31,2018-05-14,2018-05-14
20581191815807,1,34,0,0,0,,yuuone,160～164cm,1000万円以上,2500万円以上,医師,少し太め,飲む,吸わない,独身,静岡県,,食、旅が好きです。よろしくお願いいたします。,true,true,true,9999-12-31,2018-05-14,2018-05-14
14511909122507,1,38,0,0,0,,kazuki,170～175cm,800万円以上,2500万円以上,会社役員,やや細め,時々飲む,吸わない,独身,東京都,,価値観近い人、楽しめる方を求めています。,true,false,true,9999-12-31,2018-05-14,2018-05-14
20581191816568,2,29,4,0,0,,まゆり★,160～164cm,,,その他,少し太め,時々飲む,時々吸う,独身,神奈川県,まずは食事から,"はじめて登録しました★<br>
初心者なのでお手柔らかに(*^^*)<br>
",true,false,true,2018-05-13,2018-05-14,2018-05-14
14659625207852,1,45,0,0,0,,Genchan,170～174cm,600万円以上,500万円以上,会社員,普通,飲む,吸わない,既婚,山形県,,"月に1、2回会える女性を探しています。<br>
楽しく過ごしたいと思っています。<br>
<br>
秘密の関係です。",true,true,true,9999-12-31,2018-05-14,2018-05-14
14474013952698,2,27,3,0,0,,はーやん,150～154cm,,,会社員,普通,時々飲む,吸わない,独身,大分県,まずは食事から,"やっぱりできることなら常に笑ってたいし、いつも笑顔でいたいなと思っています(o^^o)<br>
楽しいことが大好きで、ドキドキしたりわくわくしたいです！ ",true,true,true,2015-11-13,2018-05-14,2018-05-14
14417047538950,2,33,1,0,0,,ピスタチオ,150cm以下,,,公務員,普通,飲まない,吸わない,独身,東京都,まずは食事から,"初めまして。<br>
<br>
都内住みの30歳です。<br>
<br>
明るく楽しい事が大好きな性格ですが、時々ネガティブになることがあるので、そんなときにそれすらも笑いに変えてくれるような方と出会いたいです。 ",true,false,true,2015-09-08,2018-05-14,2018-05-14
20581191795922,2,21,16,0,1,,kohaku1234,150～154cm,,,学生,普通,時々飲む,吸わない,独身,東京都,まずは食事から,"こんにちは！はじめまして(^o^)<br>
<br>
年上の余裕のある方と仲良くなりたいです。<br>
まずは一緒に楽しくご飯食べたりしたいです^ ^<br>
休みの日はよく読書したりお料理したりしてます。でも体を動かすことも好きです。<br>
<br>
読んでくれてありがとうございます^ ^<br>
気軽にメッセージください",true,true,true,2018-02-20,2018-05-14,2018-05-14
14473095818547,2,27,3,0,1,,こと,155～159cm,,,公務員,普通,時々飲む,吸わない,独身,滋賀県,相手に合わせる,"すてきな人と出会えたらアメリカに行ってみたいです。<br>
静かな感じの年上男性が好みです。<br>
私が今までの人生の中で一番大切にしていることは感性です。",true,true,true,2015-11-12,2018-05-14,2018-05-14
14660481255328,1,36,0,0,0,,maoi,175～179cm,500万円以上,100万円以上,医師,普通,飲む,吸わない,独身,東京都,,"一緒に明るくなれる方いたら・・・<br>
そして一緒に色々楽しめたらと思います。<br>
",true,false,true,9999-12-31,2018-05-14,2018-05-14
20581191745403,1,54,0,0,0,,優生,165～169cm,1000万円以上,1000万円以上,会社役員,普通,時々飲む,吸わない,独身,大阪府,,空いた時間に気軽に会える相手を募集します。,true,false,true,9999-12-31,2018-05-14,2018-05-14
20581191816446,1,41,0,0,0,,jiei,170～174cm,1000万円以上,500万円以上,会社員,普通,時々飲む,吸わない,既婚,栃木県,,"長期出張先の宇都宮で良い出会いを探しています。<br>
",true,false,true,9999-12-31,2018-05-14,2018-05-14
20581191769773,2,38,12,0,0,,サユミ,160～164cm,,,その他,普通,時々飲む,時々吸う,独身,北海道,積極的,落ち着ける場所を探してます！宜しくお願い致します!,true,false,true,2017-10-24,2018-05-14,2018-05-14
20581191742488,1,38,0,0,0,DIAMOND,ダイ54,180cm以上,5000万円以上,2億円以上,会社経営,普通,飲む,吸わない,既婚,東京都,,"若い女性との出逢いを求めています。<br>
よろしくお願いします?",true,false,true,9999-12-31,2018-05-14,2018-05-14
14737302399843,1,50,0,0,0,,蝶,175～179cm,500万円以上,500万円以上,会社員,普通,飲む,吸わない,独身,宮崎県,,"土日が休みです 一緒に休日を過ごしてくれるパートナーを探しています 基本的に出掛けるのが好きです お酒が大好きで 良く居酒屋に行きます 趣味は登山やウォーキング ジム通い 食べ歩き呑み歩きです 映画も好きで 月に２本くらい見に行きます<br>
優しい方と巡り合えたら嬉しいです 宜しくお願いします",true,false,true,9999-12-31,2018-05-14,2018-05-14
14738232280398,1,55,0,0,0,,ソーラー,180cm以上,600万円以上,1000万円以上,その他,普通,飲む,吸わない,独身,佐賀県,,"一緒にいると安心できる方と一緒に過ごしたいです。<br>
二人でいると[幸せ～」を感じながら・・・心に余裕がある人になりたいね。 お互いのツボを知って気持ちの落ち着く関係が保てれば理想的。 暖かいオーラがでるんじゃないかな。 言葉には表現できないミステリアスな・他人には羨ましがられるような雰囲気のカップルに憧れています。<br>
ご一緒にグルメ・旅行、楽しい時間を過ごせたら優雅な気分になれるね。 知的センスを磨くことも忘れずにね。",true,false,true,9999-12-31,2018-05-14,2018-05-14
14739923401460,1,50,0,0,0,,トッツァン,170～174cm,800万円以上,2500万円以上,会社経営,細め,飲む,吸わない,独身,愛知県,,"はじめまして。<br>
こうしたサイトでも運命の出会いを信じて登録してみました。<br>
穏やかな時間を過ごしたく思います。",true,false,true,9999-12-31,2018-05-14,2018-05-14
14739967032013,1,51,0,0,0,,ダイすけ,170～174cm,600万円以上,1000万円以上,会社員,普通,飲む,吸わない,独身,和歌山県,,一緒に楽しく過ごせる方と出会いたいです。 笑顔で穏やかに2人の時間を過ごせるような方と出会えたらいいなと思ってます。,true,false,true,9999-12-31,2018-05-14,2018-05-14
14739977763462,1,61,0,0,0,,環,155～159cm,1000万円以上,2500万円以上,会社経営,普通,飲む,吸わない,既婚,山形県,,"お茶飲み友達として付き合いながら<br>
併せてとメ－ル友達として連絡を取れれば幸いです。",true,false,true,9999-12-31,2018-05-14,2018-05-14
14743432045820,1,51,0,0,0,,優由紀,170～174cm,600万円以上,1000万円以上,会社員,太め,飲む,吸わない,独身,石川県,,"はじめまして！<br>
サイトに登録するのは初めてで何を書いて良いかわからないですけど<br>
素敵な出合いを期待してます。<br>
いろいろお話して仲良くなりましょう<br>
ヨロシクお願いします！",true,false,true,9999-12-31,2018-05-14,2018-05-14
14744248238071,1,55,0,0,0,,geegee,165～169cm,600万円以上,1000万円以上,会社役員,普通,飲む,吸わない,既婚,新潟県,,僕は基本的におしゃべりするのが好きなので、くだらない話からまじめな話までいろんなことを楽しくお話できたらな～と思います。,true,false,true,9999-12-31,2018-05-14,2018-05-14
14746039843754,1,60,0,0,0,,アルタイル,175～179cm,600万円以上,1000万円以上,公務員,細め,飲む,吸わない,独身,広島県,,"グローバルな人生を歩んできた私はグローバルな視点お持ちの貴方を探しています。<br>
ここで気の合う方が見つかれば嬉しいなぁ。 いずれやってみたいことは明るく、元気良く、楽しく、そんな出会いを求めたい、恐らく私の考え方は贅沢しすぎるか？理想に走りすぎるか？って思われるかもしれないけど<br>
実践してみないと心の「さわさわ」が収まらない、お互いが穏やかな落ち着いた時間を過ごすだけで笑顔に慣れる様な時間を持つことが出来ればと思っています。<br>
まずはお話ししてみたいです。",true,false,true,9999-12-31,2018-05-14,2018-05-14
14749435378167,1,51,0,0,0,,架是,180cm以上,1000万円以上,2500万円以上,会社経営,普通,飲む,吸わない,独身,和歌山県,,"基本、女性には優しいです。<br>
お互いのペースで話役になったり、聞き役になったり交互にコミュニケーション<br>
できる関係が理想です。<br>
趣味は、海外に関することなので海外好きな女性だと話題が盛り上がると思います。",true,false,true,9999-12-31,2018-05-14,2018-05-14
